id;Клиент;ИндКл;токен;примечание
312;Юстива;312 Юстива;;1
313;SMS Club;313 SMS Club;;2
314;Onecta;314 Onecta;;3
315;SMS Bliss;315 SMS Bliss;;4
316;SMS Aero;316 SMS Aero;;5
317;Onecta_HR;317 Onecta_HR;;6
319;leadgid;319 leadgid;;7
320;SMS Bliss (коды);320 SMS Bliss (коды);;8
321;ProntoSMS;321 ProntoSMS;;9
322;СМС Дисконт;322 СМС Дисконт;;10
323;Юстива_агент;323 Юстива_агент;;11
324;Robot Karl;324 Robot Karl;;12
325;Red_SMS;325 Red_SMS;;13
326;Квазар;326 Квазар;;14
327;Телепорт;327 Телепорт;;15
328;Intis Telecom;328 Intis Telecom;;16
329;Alliance-lab;329 Alliance-lab;;17
330;Alliance-lab_Megafon;330 Alliance-lab_Megafon;;18
331;Телепорт_Megafon;331 Телепорт_Megafon;;19
332;Квазар_Megafon;332 Квазар_Megafon;;20
333;SMS Data ;333 SMS Data ;;21
334; Евателеком;334  Евателеком;;22
335;i-Digital;335 i-Digital;;23
337;TeraSMS;337 TeraSMS;;24
338;ZazuMedia;338 ZazuMedia;;25
339;Olimpik;339 Olimpik;;26
340;Юстива_Мегафон;340 Юстива_Мегафон;;27
342;Епочта;342 Епочта;;28
343;MediaRik;343 MediaRik;;29
344;MediaRik_Megafon;344 MediaRik_Megafon;;30
345;i-Digital_Мегафон;345 i-Digital_Мегафон;;31
346;Onecta_Megafon;346 Onecta_Megafon;;32
347;SMS Bliss_Megafon;347 SMS Bliss_Megafon;09.02.2026;33
402;SMS Ads;402 SMS Ads;;34
403;Сигма реклама;403 Сигма реклама;;35
404;Сигма_Megafon;404 Сигма_Megafon;;36
348;Botto;348 Botto;11.02.2026;37
