Id;name;id_operators_name
1;Оператор неизвестен;Unknown
2;АСВТ;АСВТ
3;ОАО АСВТ;АСВТ
4;Т2 Мобайл;TELE2
5;T2MOB;TELE2
6;TELE2;TELE2
7;ROSTELEKOM;TELE2
8;ООО Т2 Мобайл;TELE2
9;Т2 Мобайл ООО;TELE2
10;Т2 Мобайл ООО (РТ-Мобайл);TELE2
11;Т2 Мобайл ООО (Енисейтелеком);TELE2
12;ENISEITELEKOM;TELE2
13;Т2 Мобайл ООО (Нижегородская сотовая связь);TELE2
14;NCC;TELE2
15;Т2 Мобайл ООО (Волгоград-GSM);TELE2
16;VOLGO;TELE2
17;Т2 Мобайл ООО (Уралвестком);TELE2
18;Т2 Мобайл ООО (Московская сотовая связь);TELE2
19;Т2 Мобайл ООО (Байкалвестком);TELE2
20;BAIKAL;TELE2
21;ЕКАТЕРИНБУРГ-2000;ЕКАТЕРИНБУРГ-2000
22;ООО ЕКАТЕРИНБУРГ-2000;ЕКАТЕРИНБУРГ-2000
23;ЕКАТЕРИНБУРГ-2000 ООО;ЕКАТЕРИНБУРГ-2000
24;EKATERINBURG;ЕКАТЕРИНБУРГ-2000
25;СИМ ТЕЛЕКОМ;СИМ ТЕЛЕКОМ
26;ООО СИМ ТЕЛЕКОМ;СИМ ТЕЛЕКОМ
27;СИМ ТЕЛЕКОМ ООО;СИМ ТЕЛЕКОМ
28;SIMTEL;СИМ ТЕЛЕКОМ
29;Билайн;Beeline
30;ПАО Вымпел-Коммуникации;Beeline
31;ВымпелКом ПАО;Beeline
32;BEELINE;Beeline
33;Теле2-Санкт-Петербург;TELE2
34;АО Теле2-Санкт-Петербург;TELE2
35;Теле2-Санкт-Петербург АО;TELE2
36;SPITERBURG;TELE2
37;Дельта Телеком ЗАО;TELE2
38;DELTA;TELE2
39;Астарта ЗАО;TELE2
40;ASTARTA;TELE2
41;Газпром телеком;Газпром телеком
42;ООО Газпром телеком;Газпром телеком
43;Газпром телеком ООО;Газпром телеком
44;GASPROM;Газпром телеком
45;Антарес;Антарес
46;ООО Антарес;Антарес
47;Интеграл;Интеграл
48;ООО Интеграл;Интеграл
49;Арктур;Арктур
50;ООО Арктур;Арктур
51;МиАТел;МиАТел
52;ООО МиАТел;МиАТел
53;МиАТел ООО;МиАТел
54;MIATEL;МиАТел
55;MIRTELEK;МиАТел
56;МТТ;МТТ
57;ОАО МТТ;МТТ
58;Межрегиональный ТранзитТелеком ОАО;МТТ
59;MTT;МТТ
60;Ростелеком;RTK
61;ПАО Ростелеком;RTK
62;Ростелеком ПАО;RTK
63;RTK;RTK
64;Сбербанк-Телеком;Сбербанк-Телеком
65;ООО Сбербанк-Телеком;Сбербанк-Телеком
66;Сбербанк-Телеком ООО;Сбербанк-Телеком
67;SBERTEL;Сбербанк-Телеком
68;МТС;MTS
